,Africa,Asia-Pacific Developed,Eastern Asia,Eurasia,Europe,Latin America and Caribbean,North America,South-East Asia and developing Pacific,EU27,GLOBAL TOTAL
1990,59.591035283738,20.772620182413,-211.1292174999,-47.455884572917,-46.053031408852,-31.725360764108,-438.57400725829,4.322,-44.270156609821,-690.25184603792
1991,58.678103068887,11.982971612463,-211.0533854999,-1.787222177712,-48.679060143984,-38.300631192345,-446.80096307744,4.322,-42.163001289042,-671.63818741003
1992,57.984973020324,-9.3723050305057,-210.9775534999,-5.2093078732356,-45.406828347371,-39.958786078861,-441.95532874912,4.322,-37.520744672294,-690.57313655867
1993,69.017804918841,-15.033923393275,-210.9017214999,-21.050005928215,-53.690575447556,-39.919554817487,-427.66608658771,4.322,-53.721198208575,-694.92206275531
1994,49.644169915365,-7.5194271902747,-210.8258894999,-56.273495026425,-61.268729610854,-44.677898633719,-446.43975432116,4.322,-57.577246820459,-773.03902436697
1995,49.071703699125,-24.325037791492,-210.7500574999,-78.603372419787,-74.003982694129,-33.074822394443,-421.584879314,4.322,-73.0515266524,-788.94844841463
1996,50.004938713138,-18.063651273865,-210.7417274999,-102.09866433177,-70.244707099559,-42.006556438623,-446.24421772162,4.322,-68.366750589378,-835.0725856522
1997,42.897169282311,-15.287007159195,-210.7333974999,-113.79758250433,-67.459274379916,-53.353436317783,-429.39234483774,4.322,-72.624372914008,-842.80387341655
1998,47.791158596954,-27.32557727018,-210.7250674999,-124.68298166255,-73.320034958339,-56.329353101143,-435.56544685108,4.322,-73.889262160043,-875.83530274625
1999,23.53025157895,-32.537989219494,-210.7167374999,-146.01690376072,-149.57385625844,-62.687277873555,-431.03801693739,4.322,-151.68936304446,-1004.7185299705
2000,37.806354366655,-25.673968987037,-210.7084074999,-136.09012813214,-73.448460130848,-66.246442820631,-436.1950861402,4.322,-81.175781876551,-906.2341393441
2001,25.917004419304,-28.967717531385,-210.7089254999,-148.2913821505,-78.488536011804,-63.432470108276,-444.16075269277,4.322,-90.823382274241,-943.81077957533
2002,35.007618263299,-34.528712357542,-210.7094434999,-162.92586988515,-79.043595178028,-62.058824116678,-423.56314156858,4.322,-90.119669215487,-933.49996834258
2003,19.232750190651,-20.07877933429,-210.7099614999,-150.38807850143,-101.24481712927,-32.653815944376,-448.55635686824,4.322,-102.77496518489,-940.07705908686
2004,0.93380926358014,-20.513577601733,-210.7104794999,-132.2592850597,-113.82533228414,-29.326996871401,-368.20117098261,4.322,-123.85358810985,-869.58103303591
2005,8.3127018430765,-10.827434108658,-210.7109974999,-132.99673296483,-116.17520226332,-59.471805945306,-425.16789872743,4.322,-124.94705721379,-942.71536966637
2006,18.581859328399,-1.6095994481604,-218.93715599992,-112.0240608207,-129.33039875397,-60.091922721883,-451.88728051098,4.322,-134.0198393399,-950.97655892722
2007,60.748938879445,8.8816024034095,-227.16331449994,-146.44639688961,-124.88094149582,-65.779068485191,-415.07815927566,4.322,-122.31114437799,-905.39533936337
2008,112.51340974904,12.415362139363,-235.38947299996,-196.88377903081,-74.766391619808,-64.4893110462,-396.9579126266,4.322,-88.576081570001,-839.23609543498
2009,103.71021760603,26.992825958191,-243.61563149998,-175.69638133749,-77.167172096192,-79.556755989924,-365.68377638002,4.322,-88.465244636632,-806.69467373939
2010,86.793376359766,12.317759688318,-251.84179,-207.16977310825,-102.16827291751,-75.583794150638,-383.38124885943,4.322,-103.13962707774,-916.71174298775
2011,114.52403485491,20.190146641175,-267.256006,-206.60524179078,-88.55860770076,-75.166088782122,-423.82360143119,4.097,-103.80322401635,-922.59836420877
2012,122.5332905854,14.758274928663,-282.670222,-221.01952541908,-90.709485870493,-78.153062287832,-432.6928797481,3.8235833333333,-98.722661113878,-964.13002647811
2013,118.21148941636,1.4881867639292,-298.084438,-192.40226001276,-73.290628287607,-76.67556404744,-397.63861939862,3.5985833333333,-94.859946211948,-914.7932502328
2014,105.35517867668,-1.4847054973067,-313.498654,-247.38093184799,-76.518603265967,-89.87935207714,-410.17847701016,3.422,-100.40695299117,-1030.1635450219
2015,126.09661664784,-9.7986253325005,-346.75920333333,-187.33650025349,-100.72781001114,-86.221436347972,-348.14653419131,3.422,-117.90217258324,-949.47149282191
2016,110.39220616884,-29.163522536001,-380.01306266667,-218.97899516303,-103.2811480297,-100.61126416495,-441.75898554684,3.422,-123.31895479876,-1159.9927719383
2017,108.70639609393,-41.656930933157,-414.294922,-215.25587521076,-105.84778476447,-104.29470807836,-440.14134804936,3.422,-118.8061049929,-1209.3631729422
2018,111.42253447956,-45.996808668293,-375.602448,-216.31450943819,-99.468443610068,-95.720742733971,-424.4764388395,3.422,-123.12263347498,-1142.7348568105
2019,120.1959933192,-48.672106120574,-375.609974,-204.36577467664,-110.54188465194,-96.507663818646,-384.0172248702,3.422,-134.55104713685,-1096.0966348188
2020,109.36520295185,-45.426054999469,-375.6175,-203.42640591356,-123.06538835191,-94.824153617606,-457.40976911221,3.422,-124.1168862391,-1186.9820690429
2021,119.67952743768,-48.556039754426,-375.6175,-172.43642287851,-133.153723008,-94.824153617606,-451.01966590055,3.422,-129.18412202084,-1152.5059777214
2022,119.67952743768,-48.556039754426,-375.6175,-172.43642287851,-133.153723008,-94.824153617606,-451.01966590055,3.422,-129.18412202084,-1152.5059777214
2023,119.67952743768,-48.556039754426,-375.6175,-172.43642287851,-133.153723008,-94.824153617606,-451.01966590055,3.422,-129.18412202084,-1152.5059777214
